VideoID,Title,Captions
cyq4Pf2j9B8,Sicredi | Plano Safra 2024/25 – História do Eliseu,e daí os negócios do patrão não foram muito bem ele buscou em contato com o pai para oferecer a terra e acabaram fazendo o negócio e o pai veio morar de funcionário para patrão aqui adquirimos um trator agora no último plano S sem investimento você não vai a lugar nenhum né então a gente já vai pro secred conta a nossa história pra gente pegar e fazer esse outro sonho que a gente já tá vindo não são só recursos é uma parceria pra minha propriedade continuar crescendo Y
n8D4xpLuwxA,Sicredi | Plano Safra 2024/25 – História do Eliseu,nasci e me criei aqui na linha União Pinheirinho do Vale Nossa propriedade surgiu há mais ou menos 62 anos o meu pai veio de Santa Cruz do Sul e para vir trabalhar pro patrão nessa propriedade aqui foi juntando umas coletas boas e daí os negócios do patrão não foram muito bem ele buscou em contato com o pai para oferecer a terra e acabaram fazendo o negócio e o pai veio morar de funcionário aqui os compadres antigamente do pai diziam que banco era só para sentar mas o pai era muito empreendedor emociono muito Dee ter liberado a propriedade para mim para mim botar a minha ideia em prática eu queria gado de leite e não queria tabaco queria suínos o pai me conquistou a eu ficar e eu fiquei aqui e o Diego vai ficar já decidi minha inspiração Foi meu pai e meu avô espero ter a capacidade administrar como eles vinham fazendo hoje tá 100% cé a minha propriedade tenho seguro Porteira fechada na bof cultura de leite a gente ampliou agora há pouco o galpão consegui ampliar minha C cultura adquirimos um trator agora no último plano S então por isso que tem que ter essa parceria né com instituição que nem o c que tá sempre voltado para nós e a gente não para por aí né Sempre tem que investir sem investimento você não vai a lugar nenhum n é gratificante né saber que eu tô conseguindo auxiliar a família fazer a propriedade crescer agora tá aí o plano safra né novos planos de investimento então a gente já vai pro secred conta a nossa história pra gente pegar e fazer esse outro sonho que a gente já tá vindo não são só recursos é uma parceria PR minha propriedade continuar crescendo Y
5LIHCjuw964,Sicredi | Não é só uma empresa,não é só um bolo é o sonho da Franci um dia ela quer crescer ter mais lojas para isso conta com secr onde tem capital de giro cartão Empresarial emissão de boletos E para completar tem seu gerente sempre por perto a cereja do bolo né aqui no não é só dinheiro é ter com quem contar
5ED1_LPqq1o,Sicredi - Motivos para amar o Sicredi,
e37pXmEeRx4,Sicredi - Histórias que Encantam: Episódio 1,gente prazer meu nome é Diego e hoje vou contar para vocês a história da Luciana uma associada super querida aqui da secr Progresso de Paraná Santa Catarina para começar tem que ter aquele Clichê Nunca desista dos seus sonhos porque dá certo ainda mais quando a gente tem com quem contar bom em 2019 ela resolveu abrir uma empresa ser a sua própria chefe sabe mas quem disse que ela tava conseguindo abrir uma conta corrente era não atrás de não como o CNPJ era novo o processo estava muito complicado mas ela ainda tinha esperanças não desistiu e Que bom porque ela veio até nós e para ela era tudo ou nada deu uma desabafado Inclusive eu a escutei com toda atenção servi um cafezinho Claro e falei para ela não se preocupar já que ela podia contar com a gente e gente que emoção ela ficou tão feliz dias depois a gente foi lá visitar a empresa Tadinha ela tava meio tímida porque era na casa dela na garagem e na sala ficava as coisinhas para personalização de embalagens mas deu certo abrimos a conta e ela conseguiu dar sequência no sonho dela de lá para cá foi só sucesso hoje ela tem 18 pessoas trabalhando com ela e tá conseguindo viver do que sempre sonhou e o mais legal é que ela continua com a gente tanto com a empresa quanto com a conta pessoal até o marido dela virou um secer ela indica PR os clientes e fornecedores porque o secred é uma instituição financeira cooperativa que ela sabe que pode contar que acredita nos Son dos Associados e é isso obrigado pela parceria Lu
4BmF9mtC15A,Sicredi - Agradecimento Central Sul/Sudeste,se alguém já lhe deu a mão e não pediu mais nada em troca pense bem pois é um dia [Música] especial eu sei não é sempre que a gente encontra alguém que faça bem que nos leve desse tempoal o amor é maior que tudo do até a dor se vai quando olhar é natural mas te vejo e sinto o brilho desse olhar que me acalma e me traz força para encarar tudo mas te vejo e sinto o brilho desse olhar que me acalma e me traz força para encarar tudo o amor é maior que tudo do que todos até a dor se vai quando olhar é natural mas te vejo e sinto o brilho desse olhar que me calma e me trá força PR a central secred Sul Sudeste agradece a cada um de todas as cooperativas cas centrais todas as áreas que somaram esforços de inúmeras e diferentes formas e que continuam ajudando a reconstruir o Rio Grande do Sul porque o mais importante de tudo são as pessoas e sempre foi sobre ter com quem contar cooperar É somar para multiplicar m
OIR9XNdA9B8,Sicredi - Dicas do Gerente Amigo,Oi meu nome é Miguel e aqui no secred gerente não é só gerente É também um amigo por isso vim aqui hoje te dar algumas dicas de amigo e Pode confiar que eu sou aquela amizade boa em dar conselhos Olha só as dicas de hoje vem comigo primeiro defina qual que é o seu objetivo financeiro pense no curto médio e longo prazo e Estabeleça metas específicas segundo Organize suas Finanças e separe os seus gastos em categorias terceiro reveja os seus hábitos repense o que de fato é necessário e o que pode esperar talvez você não precise daquela roupa que está no seu carrinho faz tempo viu quarto poupe dinheiro e crie uma reserva de emergência É lógico que não queremos mas nunca se sabe quando vamos precisar e por fim mas com certeza não menos importante seja um associado se Cred venha fazer parte da maior Cooperativa de Crédito do Brasil e confiar o seu dinheiro com quem sabe que pode contar Ah e se você for de Ipiranga do Norte o seu gerente e melhor amigo poderá ser eu tchau e até a próxima
2PSyZ6QZ808,Sicredi - Campanha PJ,não é só um bolo é o sonho da Franci um dia ela quer crescer ter mais lojas para isso conta com secr onde tem capital de giro cartão Empresarial emissão de boletos E para completar tem seu gerente sempre por perto a cereja do bolo né aqui no não é só dinheiro é ter com quem contar
fT-ESMGuU5Y,Sicredi | Uma viagem para Salvador com Katia Barbosa,e se você for para uma viagem sem saber aonde vai ou o que vai fazer é assim que a gente partiu pelo Brasil para mostrar como é viajar ao lado de quem você pode contar em qualquer lugar o secred vis terminamos a nossa jornada e o meio para isso é a gastronomia porque não tem lugar que conte tão bem a sua história através dos Sabores quanto a Bahia e eu conto com a confiança desses dois para fazer essa viagem ser memorável do início ao [Música] fim então meninos Estou trazendo vocês para um lugar [Música] incrível como todo lugar aqui na Bahia vamos combinar e vem coisa boa comida boa e muita história bacana primeiro eu quero apresentar Leila que é a dona desse espaço incrível aqui tem alguns ingredientes que vão compor o prato que vocês irão comer vocês tem oito potinhos aqui escolham quatro potinhos não pode abrir e eu vou lá para dentro e vou criar o prato com a ajuda da Leila que que vocês acham eu acho maravilhoso dentro confio em vocês Será que Eles escolheram Vamos [Música] ver eu tenho um camarão seco aqui um arroz um Dendê um chark existe um prato chamado arroz J alçar eu tive uma ideia meio louca aqui um bolinho de arroz de alçar não e o mais bacana sabe o que é a explosão de sabores que vai dar Eita tá com fome né V depois vocês voltam depois vocês voltam tá quase pronto voltei com a caixinha bom trve um brinde um brinde um brinde Hum bom posso contar essa é a base do arroz de alçar só que vocês repaginar isso aí tudo a gente repaginou só que ela veio com a ideia de falou por que que a carne seca vai por dentro não vamos colocar lá por fora e a gente tentou e ficou esse crespinho incrível incrível tá bom meninos se vocês gostaram dessa experiência temos mais coisas para fazer aqui vamos arrasar nossa [Música] então meninos Olha esse aqui é um quilombo a minha grande dica PR cá e que vocês vejam como é que faz um Dendê de pilão E aí Rosângela Esse é o process toda uma cultura todo um saber toda a gastronomia ancestral que tá embutido em um azeite de dendê Então vamos colocar a mão na massa né Bora Ah nós vamos fazer isso também S então R Eu quero primeiro te agradecer por essa aula de ancestralidade de saberes de fazeres a gente vê o produto final a gente consome dend a gente gosta de dend mas saber o processo é importantíssimo eu ainda bem que tô de óculos que eu já tô me emocionando aqui te dar um abraço muito obrigada [Música] x foi assim genial é muito bom estar aqui dessa vez a gente procurou Destinos e coisas mais tradicionais para experienciar muita surpresas né bruna M foi muito delicioso também descobrir o caminho do Sabor né a história por trás do Sabor como tá tudo conectado Salvador é sempre uma novidade muito bacana muito emocionante
M6EITsTd58E,Sicredi - Conselho de Mãe com a Mãe do Gigante,[Música] Oi eu sou Maria nova Silva de Santana a mãe do Léo Santana que para vocês é o gigante mas para mim ele continua sendo meu Leozinho meu caçulinha dengoso se eu lembrar do meu passado da minha luta com meus três filhos mas pense deuma família unida e aí Eu Tinha que trabalhar pai também trabalhar para dar o sustento né era só eu e o pai para tudo Léo nunca fez plano de ter dinheiro Um Dia Depois de muito tempo que ele passou a ver que tem que ter tem que guardar e até hoje o que ele mais se preocupa é com isso com a boa vida da família Léo é tão assim família que o primeiro cantinho para morar ele comprou pra gente depois só que ele veio pensar nele Bora ali V um apartamento ver se a senhora vai gostar chegou aqui eu olhei a senhora gostou do apartamento com a chave já na mão aí puxou assim aqui o apartamento é seu  desabei Foi show hoje ele preza muito o que tem o que ganha não gasta com besteira aprendeu comigo sempre fui econômica e agora que ele troue crédito que o pessoal tá orientando ali é um ajudando o outro né é um ajudando o outro como uma comperativa né e cada dia a coisa melhora eu digo assim que é que eu fiz para esses filhos para eu ser tão amada que a gente mãe acha que tudo que faz é normal né a gente tá fazendo é minha obrigação eu vou fazer esse Cred inteiro ficou te esperando PR te ver sorrindo PR te ver sonhando se é ter com quem contar
rZefi0TFGig,Sicredi - Golpe do Falso Boleto - Lucas Sá,mais um boleto parece que as contas não param nunca mas esse valor aqui tá muito estranho tem um novo tipo de golpe que se chama golpe do falso boleto os boletos falsos parecem muito com os originais que a gente costuma receber o golpe funciona assim a gente paga por um boleto adulterado O valor vai para a conta do fraudador ao invés do verdadeiro credor e a gente continua recebendo cobranças e o pior a gente continua pagando mas eu vou te ensinar a se proteger disso primeiro fica atento aos dados do beneficiário do boleto na hora do pagamento dependente de como você vai pagar essas informações são exibidas antes que você complete a transação também é uma dica para você verificar sempre o CPF ou CNPJ do emissor data de vencimento e principalmente o valor para ter certeza que está pagando o documento correto foi onde eu vi o erro aqui no meu boleto veja também se os primeiros números do código de barras de fato correspondem ao código do Banco E aí você evita em cair em golpes Conte com o secred para se proteger desse e de outros golpes
